지역,1등급(양호),2등급(일반),합계,고령인구비율
경상남도 창원시,622,370,992,18.53654016863084
경상남도 진주시,314,330,644,20.23641329942545
경상남도 통영시,102,166,268,24.750940518982144
경상남도 사천시,125,164,289,25.355256510356867
경상남도 김해시,212,99,311,14.55635067990649
경상남도 밀양시,451,260,711,33.87850236536201
경상남도 거제시,69,142,211,14.999162993136544
경상남도 양산시,62,59,121,17.33442240111377
경상남도 의령군,94,353,447,41.86166211347349
경상남도 함안군,33,181,214,30.70461890654457
경상남도 창녕군,41,103,144,37.1873174358702
경상남도 고성군,138,252,390,36.27620221948212
경상남도 남해군,148,430,578,42.14078356449892
경상남도 하동군,25,67,92,40.48695145064878
경상남도 산청군,58,62,120,41.85713433192099
경상남도 함양군,64,86,150,38.616004164041314
경상남도 거창군,43,114,157,31.64180600330733
경상남도 합천군,63,194,257,44.57748552360389
